Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,CLOSE,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2020-12-31,EQ,939.8,940.85,921.55,934.4,923.5,927.85,928.6,954,385.05,2077998,"1,92,96,32,828.85",38683
2021-01-01,EQ,924.5,938,920.25,927.85,932.95,933.4,929.67,954,385.05,1151605,"1,07,06,16,883.30",23247
2021-01-04,EQ,937.15,967,937.15,933.4,963,964.45,953.81,967,385.05,2667535,"2,54,43,09,973.50",48114
2021-01-05,EQ,955,971.95,946.95,964.45,960.5,961.3,959.2,971.95,385.05,1511818,"1,45,01,37,609.85",33765
2021-01-06,EQ,960,989.5,955.05,961.3,985.85,984.6,973.18,989.5,385.05,2162883,"2,10,48,66,944.85",46754
2021-01-07,EQ,990,"1,004.65",977.2,984.6,991.95,993.85,992.26,"1,004.65",385.05,1888940,"1,87,43,22,269.95",46601
2021-01-08,EQ,999.65,"1,023.85",992.1,993.85,"1,000.65",1004.3,"1,009.22","1,023.85",385.05,2381402,"2,40,33,69,142.40",44294
2021-01-11,EQ,999.35,"1,012.30",994.45,"1,004.30","1,003.05",1004.3,"1,004.62","1,023.85",385.05,1249633,"1,25,54,11,930.15",39738
2021-01-12,EQ,1005.8,"1,020.60",997.7,"1,004.30","1,010.20",1010.3,"1,011.27","1,023.85",385.05,1551157,"1,56,86,40,277.50",37380
2021-01-13,EQ,1009,"1,041.00","1,007.45","1,010.30","1,031.80",1033.35,"1,023.55","1,041.00",385.05,2205417,"2,25,73,44,453.30",42509
2021-01-14,EQ,1035,"1,040.95","1,013.30","1,033.35","1,015.10",1020.25,"1,023.26","1,041.00",385.05,1522045,"1,55,74,45,602.60",41926
2021-01-15,EQ,1015.1,"1,039.30","1,001.60","1,020.25","1,033.70",1033.05,"1,019.35","1,041.00",385.05,2026203,"2,06,54,05,038.65",47048
2021-01-18,EQ,1023,"1,029.55",990.85,"1,033.05",994.85,999.2,"1,007.06","1,041.00",385.05,1847393,"1,86,04,41,935.20",56469
2021-01-19,EQ,1002,"1,052.50","1,002.00",999.2,"1,032.00",1031.9,"1,037.55","1,052.50",385.05,4059040,"4,21,14,52,529.50",98799
2021-01-20,EQ,1028,"1,038.50","1,014.80","1,031.90","1,028.90",1034.7,"1,025.45","1,052.50",385.05,1528763,"1,56,76,72,407.50",52762
2021-01-21,EQ,1036,"1,046.95","1,012.50","1,034.70","1,022.30",1017.1,"1,031.15","1,052.50",385.05,1268212,"1,30,77,12,836.40",36055
2021-01-22,EQ,1022.3,"1,030.75","1,000.00","1,017.10","1,001.25",1004,"1,012.76","1,052.50",385.05,1029795,"1,04,29,30,232.35",31591
2021-01-25,EQ,1025,"1,114.65","1,017.00","1,004.00","1,062.90",1069.75,"1,075.06","1,114.65",385.05,15344078,"16,49,57,88,061.85",316677
2021-01-27,EQ,1063.95,"1,114.35","1,051.05","1,069.75","1,060.00",1061.55,"1,081.88","1,114.65",385.05,6620990,"7,16,31,09,106.45",162403
2021-01-28,EQ,1040.5,"1,076.00","1,038.55","1,061.55","1,065.20",1067.4,"1,056.09","1,114.65",385.05,2834260,"2,99,32,27,872.45",78641
2021-01-29,EQ,1062.6,"1,094.00","1,048.45","1,067.40","1,062.00",1055.65,"1,073.20","1,114.65",385.05,3822191,"4,10,19,79,072.55",94386
2021-02-01,EQ,1060,"1,130.80","1,047.35","1,055.65","1,130.50",1125.65,"1,092.85","1,130.80",385.05,2099126,"2,29,40,22,387.50",60712
2021-02-02,EQ,1144,"1,209.90","1,136.45","1,125.65","1,190.00",1190,"1,182.60","1,209.90",385.05,4122906,"4,87,57,34,119.05",104344
2021-02-03,EQ,1178.1,"1,205.50","1,172.25","1,190.00","1,180.10",1190.85,"1,191.92","1,209.90",385.05,2427085,"2,89,28,99,266.20",64409
2021-02-04,EQ,1180,"1,217.45","1,171.05","1,190.85","1,187.00",1188.5,"1,196.31","1,217.45",385.05,2659290,"3,18,13,26,496.20",68786
2021-02-05,EQ,1188.5,"1,208.80","1,173.00","1,188.50","1,185.80",1186.1,"1,188.23","1,217.45",385.05,1636133,"1,94,41,01,981.00",58845
