Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,LTP,CLOSE,VWAP,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2020-12-16,EQ,2540,"2,587.90","2,537.60","2,527.45","2,583.95",2582.45,"2,569.92","2,587.90","1,431.20",1920875,"4,93,64,95,785.40",97258
2020-12-17,EQ,2569,"2,603.35","2,557.00","2,582.45","2,580.00",2575.05,"2,576.90","2,603.35","1,431.20",1750663,"4,51,12,77,273.20",93045
2020-12-18,EQ,2577,"2,636.00","2,575.55","2,575.05","2,596.95",2601.5,"2,602.24","2,636.00","1,431.20",4402604,"11,45,66,34,032.00",115277
2020-12-21,EQ,2595.45,"2,602.30","2,539.10","2,601.50","2,542.35",2554.65,"2,573.97","2,636.00","1,431.20",1383048,"3,55,99,21,964.90",72383
2020-12-22,EQ,2541,"2,613.60","2,496.20","2,554.65","2,603.90",2600.8,"2,550.57","2,636.00","1,431.20",1993090,"5,08,35,24,273.60",93359
2020-12-23,EQ,2604,"2,650.00","2,604.00","2,600.80","2,638.15",2642.55,"2,624.89","2,650.00","1,431.20",1339307,"3,51,55,38,871.55",71569
2020-12-24,EQ,2658,"2,658.00","2,613.00","2,642.55","2,641.85",2648.25,"2,633.84","2,658.00","1,431.20",1143202,"3,01,10,11,809.85",56095
2020-12-28,EQ,2654.25,"2,689.50","2,629.55","2,648.25","2,684.00",2683.9,"2,659.78","2,689.50","1,431.20",1226254,"3,26,15,65,297.00",62227
2020-12-29,EQ,2685,"2,712.45","2,673.00","2,683.90","2,693.00",2696.8,"2,694.87","2,712.45","1,431.20",1562853,"4,21,16,83,836.15",68785
2020-12-30,EQ,2694,"2,742.85","2,680.35","2,696.80","2,735.30",2734.4,"2,716.05","2,742.85","1,431.20",1614643,"4,38,54,43,402.00",61711
2020-12-31,EQ,2734.4,"2,772.00","2,725.05","2,734.40","2,760.55",2764.5,"2,748.72","2,772.00","1,431.20",1526325,"4,19,54,33,637.80",53562
2021-01-01,EQ,2759,"2,792.00","2,750.00","2,764.50","2,770.10",2775.55,"2,774.59","2,792.00","1,431.20",1246698,"3,45,90,74,594.40",44528
2021-01-04,EQ,2781.1,"2,791.10","2,745.00","2,775.55","2,754.00",2753.7,"2,761.20","2,792.00","1,431.20",1360486,"3,75,65,68,334.50",75734
2021-01-05,EQ,2753.7,"2,804.60","2,732.00","2,753.70","2,796.35",2793.85,"2,767.75","2,804.60","1,431.20",1299589,"3,59,69,39,393.60",65696
2021-01-06,EQ,2801.3,"2,822.45","2,780.00","2,793.85","2,799.95",2805.35,"2,795.31","2,822.45","1,431.20",1697884,"4,74,61,17,446.70",81675
2021-01-07,EQ,2801,"2,831.85","2,781.50","2,805.35","2,791.00",2792.25,"2,811.19","2,831.85","1,431.20",1142806,"3,21,26,48,014.25",61707
2021-01-08,EQ,2818,"2,849.80","2,789.05","2,792.25","2,841.00",2844.7,"2,815.72","2,849.80","1,431.20",1660967,"4,67,68,17,167.50",100519
2021-01-11,EQ,2845,"2,873.45","2,824.60","2,844.70","2,846.00",2849.3,"2,848.24","2,873.45","1,431.20",1517995,"4,32,36,07,757.75",64182
2021-01-12,EQ,2849.6,"2,850.00","2,712.15","2,849.30","2,757.00",2720.55,"2,742.90","2,873.45","1,431.20",6674890,"18,30,85,84,116.00",147812
2021-01-13,EQ,2760,"2,763.00","2,678.00","2,720.55","2,700.00",2703.7,"2,710.34","2,873.45","1,431.20",2862676,"7,75,88,30,162.25",140068
2021-01-14,EQ,2713,"2,736.65","2,648.00","2,703.70","2,667.00",2663.9,"2,667.03","2,873.45","1,431.20",2124950,"5,66,73,05,762.30",89285
2021-01-15,EQ,2660.9,"2,661.85","2,580.55","2,663.90","2,585.70",2590.9,"2,615.33","2,873.45","1,431.20",2570436,"6,72,25,26,251.75",113890
2021-01-18,EQ,2592,"2,619.85","2,555.40","2,590.90","2,584.25",2588.2,"2,580.10","2,873.45","1,431.20",2395168,"6,17,97,76,750.55",102029
2021-01-19,EQ,2615,"2,676.60","2,590.00","2,588.20","2,651.00",2645.05,"2,637.82","2,873.45","1,431.20",2558693,"6,74,93,70,607.25",137160
2021-01-20,EQ,2654,"2,707.15","2,645.05","2,645.05","2,695.00",2697.25,"2,685.07","2,873.45","1,431.20",2065439,"5,54,58,42,806.45",98505
2021-01-21,EQ,2726.95,"2,816.95","2,695.00","2,697.25","2,740.00",2716.35,"2,744.75","2,873.45","1,431.20",5015712,"13,76,68,80,686.55",204753
2021-01-22,EQ,2750,"2,768.85","2,590.00","2,716.35","2,600.95",2596.65,"2,675.27","2,873.45","1,431.20",4945564,"13,23,07,01,298.45",210863
2021-01-25,EQ,2612.85,"2,631.50","2,501.00","2,596.65","2,519.05",2513.95,"2,541.24","2,873.45","1,431.20",3520087,"8,94,53,78,389.45",207974
2021-01-27,EQ,2525,"2,525.00","2,430.55","2,513.95","2,433.00",2436.6,"2,463.46","2,873.45","1,431.20",2700415,"6,65,23,70,640.35",185770
2021-01-28,EQ,2420,"2,453.95","2,401.05","2,436.60","2,448.00",2441.7,"2,425.48","2,873.45","1,431.20",3035457,"7,36,24,31,076.85",131945
2021-01-29,EQ,2456,"2,484.00","2,400.00","2,441.70","2,412.50",2407.35,"2,440.58","2,873.45","1,431.20",2768673,"6,75,71,59,129.80",116478
2021-02-01,EQ,2426.6,"2,467.75","2,376.90","2,407.35","2,466.80",2447.8,"2,415.26","2,873.45","1,431.20",1797359,"4,34,10,88,630.85",113027
2021-02-02,EQ,2460,"2,520.00","2,425.10","2,447.80","2,470.00",2463.65,"2,469.98","2,873.45","1,431.20",2679428,"6,61,81,28,249.80",144259
2021-02-03,EQ,2503.85,"2,503.85","2,438.35","2,463.65","2,454.00",2453.65,"2,464.64","2,873.45","1,431.20",2409356,"5,93,81,95,517.30",102463
2021-02-04,EQ,2456,"2,456.00","2,398.00","2,453.65","2,406.00",2401.8,"2,411.35","2,873.45","1,431.20",3478562,"8,38,80,20,272.10",160854
2021-02-05,EQ,2420,"2,423.90","2,370.80","2,401.80","2,382.00",2376.75,"2,386.95","2,873.45","1,431.20",3303319,"7,88,48,48,894.75",149221
2021-02-08,EQ,2394,"2,434.90","2,373.40","2,376.75","2,424.00",2416.85,"2,408.69","2,873.45","1,431.20",3666313,"8,83,09,96,569.55",162331
2021-02-09,EQ,2432.5,"2,532.45","2,423.65","2,416.85","2,508.00",2506.85,"2,498.10","2,873.45","1,431.20",7178572,"17,93,28,05,677.75",273637
2021-02-10,EQ,2529,"2,555.00","2,475.00","2,506.85","2,510.15",2510.6,"2,510.74","2,873.45","1,431.20",4473123,"11,23,08,51,110.85",194967
2021-02-11,EQ,2524.95,"2,540.00","2,495.10","2,510.60","2,508.00",2505.5,"2,511.73","2,873.45","1,431.20",1446286,"3,63,26,77,617.00",75891
2021-02-12,EQ,2518,"2,523.00","2,464.20","2,505.50","2,488.00",2486.1,"2,491.77","2,873.45","1,431.20",1376085,"3,42,88,88,505.70",61470
